supplier_id,company_name,region,industry,annual_revenue,annual_spend,avg_payment_delay_days,contract_value,contract_duration_months,past_disputes,delivery_score,financial_stability_index,relationship_years,contract_criticality,credit_score,created_ts
S_00561,"Rodriguez, Allen and Martinez",LATAM,Biotech,1558249,1262237,49,755133,20,2,77,0.56,9,High,696,2025-11-02 09:15:41.904927+00:00
S_00562,Wright-Davis,Europe,Biotech,4228843,2260846,69,1218698,29,0,52,0.88,9,Medium,808,2025-11-02 09:15:41.905491+00:00
S_00563,Dougherty-Lin,LATAM,Manufacturing,3141861,1479953,67,1812188,54,12,67,0.29,7,Medium,601,2025-11-02 09:15:41.906050+00:00
S_00564,Wright-Grimes,North America,Logistics,4440234,2824991,84,1412401,10,10,90,0.91,8,Medium,818,2025-11-02 09:15:41.906604+00:00
S_00565,Li PLC,Asia-Pacific,Biotech,2671437,2108467,60,962179,38,7,86,0.69,5,Medium,741,2025-11-02 09:15:41.906955+00:00
S_00566,"Edwards, Hines and Jimenez",North America,Biotech,2521434,1953386,72,556188,9,10,80,0.43,9,High,650,2025-11-02 09:15:41.907753+00:00
S_00567,"Owens, Koch and Jimenez",Asia-Pacific,Biotech,483018,199799,62,183036,14,8,54,0.73,4,High,755,2025-11-02 09:15:41.908545+00:00
S_00568,Landry PLC,Asia-Pacific,Manufacturing,2406963,1855081,77,376191,43,11,59,0.42,10,Medium,647,2025-11-02 09:15:41.908901+00:00
S_00569,Levy-Lewis,Europe,Facilities,1521356,746079,67,1817775,8,5,55,0.41,2,Medium,643,2025-11-02 09:15:41.909458+00:00
S_00570,Williams-Campbell,LATAM,Facilities,1343106,697036,56,1532530,46,2,63,0.87,9,Medium,804,2025-11-02 09:15:41.910166+00:00
S_00571,"Khan, Pena and Ruiz",Asia-Pacific,Manufacturing,2944704,1255214,59,846228,36,4,80,0.24,8,High,584,2025-11-02 09:15:41.911277+00:00
S_00572,"Smith, Rodriguez and Anderson",Europe,Biotech,3322148,2774454,1,615641,57,7,74,0.58,10,Medium,703,2025-11-02 09:15:41.912505+00:00
S_00573,Luna-Gallagher,North America,Manufacturing,4498088,3863210,81,752031,60,6,89,0.75,10,Low,762,2025-11-02 09:15:41.913493+00:00
S_00574,Williams-Williams,North America,IT Services,2859910,2079645,50,977014,55,10,97,0.42,3,Medium,647,2025-11-02 09:15:41.914366+00:00
S_00575,"Lee, Tran and Jones",Asia-Pacific,Logistics,4988577,2776816,1,1420967,6,1,50,0.82,6,High,787,2025-11-02 09:15:41.916530+00:00
S_00576,"Cole, Pierce and Bryan",Asia-Pacific,Logistics,921637,702863,32,414917,8,0,89,0.75,1,High,762,2025-11-02 09:15:41.917828+00:00
S_00577,"Becker, Wilson and Hester",North America,Manufacturing,1868857,828264,77,282435,30,10,98,0.96,10,Medium,836,2025-11-02 09:15:41.918992+00:00
S_00578,Brooks-Hatfield,Europe,IT Services,1599951,875628,84,1973316,10,10,79,0.92,4,Medium,822,2025-11-02 09:15:41.919909+00:00
S_00579,"Mcmillan, Fischer and Gonzalez",North America,IT Services,2762910,2178700,48,824933,27,0,66,0.41,4,High,643,2025-11-02 09:15:41.921274+00:00
S_00580,"Morales, Williams and Williams",Europe,Biotech,632156,376965,82,1041918,12,2,84,0.59,6,High,706,2025-11-02 09:15:41.922557+00:00
S_00581,"Cook, Wells and Bryant",Asia-Pacific,Manufacturing,941287,392921,9,1208196,52,4,99,0.93,7,High,825,2025-11-02 09:15:41.923816+00:00
S_00582,"Barry, Taylor and Velazquez",North America,Manufacturing,4225021,3093995,34,327943,50,5,75,0.32,9,High,612,2025-11-02 09:15:41.925039+00:00
S_00583,Martin-Ewing,LATAM,Manufacturing,4166117,2791566,0,816195,50,12,80,0.58,1,Medium,703,2025-11-02 09:15:41.925961+00:00
S_00584,"Kirby, Wheeler and Romero",Asia-Pacific,Facilities,3060825,1308800,82,200142,29,8,71,0.47,1,Low,664,2025-11-02 09:15:41.927179+00:00
S_00585,"Patel, Erickson and Evans",Europe,Biotech,2482349,1041756,49,1395659,18,4,94,0.72,6,Low,752,2025-11-02 09:15:41.928434+00:00
S_00586,Richardson Ltd,LATAM,Logistics,3063700,1439851,24,63193,52,9,65,0.59,7,Medium,706,2025-11-02 09:15:41.928946+00:00
S_00587,Whitney PLC,LATAM,Biotech,4584479,4045696,57,44431,8,5,53,0.71,5,Medium,748,2025-11-02 09:15:41.930111+00:00
S_00588,Robles-Swanson,Europe,Biotech,409154,257433,86,1834941,40,2,97,0.52,9,High,682,2025-11-02 09:15:41.931639+00:00
S_00589,"Soto, Carlson and Baker",Europe,Facilities,654260,475591,60,1912491,45,0,65,0.23,10,High,580,2025-11-02 09:15:41.933488+00:00
S_00590,"Patton, Parsons and Lane",Asia-Pacific,Manufacturing,1494929,938953,21,1761860,43,1,56,0.71,1,Medium,748,2025-11-02 09:15:41.935135+00:00
S_00591,"Williams, Castillo and Warren",Europe,Facilities,1900296,1080644,86,853073,26,1,93,0.25,9,Medium,587,2025-11-02 09:15:41.936486+00:00
S_00592,"Harvey, Randall and Hernandez",Europe,Manufacturing,2747691,1913883,42,142585,13,4,59,0.87,6,High,804,2025-11-02 09:15:41.937796+00:00
S_00593,"Allen, Armstrong and Graves",LATAM,Logistics,3153175,2720678,5,289699,12,12,90,0.64,9,Medium,724,2025-11-02 09:15:41.939080+00:00
S_00594,Smith LLC,LATAM,Manufacturing,1373333,553693,22,1952249,11,11,91,0.21,9,Low,573,2025-11-02 09:15:41.939608+00:00
S_00595,Hernandez-Vaughn,LATAM,Logistics,3541525,1781670,81,578222,39,7,76,0.75,3,Low,762,2025-11-02 09:15:41.940490+00:00
S_00596,Shaw-Carr,LATAM,Biotech,365589,319944,80,1743261,56,4,72,0.68,6,High,738,2025-11-02 09:15:41.941393+00:00
S_00597,Salas-Fitzgerald,North America,Biotech,2026683,1177402,69,1074390,20,7,99,0.35,10,Medium,622,2025-11-02 09:15:41.942262+00:00
S_00598,Thornton PLC,North America,Logistics,2368834,1759147,60,1053364,17,2,92,0.24,0,High,584,2025-11-02 09:15:41.942803+00:00
S_00599,Hoffman Ltd,LATAM,IT Services,3105072,1761033,58,100843,12,11,53,0.43,8,High,650,2025-11-02 09:15:41.943312+00:00
S_00600,Fox-Edwards,North America,Manufacturing,293816,249020,56,1252995,43,5,76,0.59,3,Medium,706,2025-11-02 09:15:41.944182+00:00
S_00601,Stevens PLC,North America,IT Services,2782043,1429666,30,1557169,32,3,74,0.38,3,High,633,2025-11-02 09:15:41.944733+00:00
S_00602,Payne-Lowe,LATAM,Logistics,4958109,2519128,78,964185,17,6,73,0.59,2,Medium,706,2025-11-02 09:15:41.947045+00:00
S_00603,"Becker, Lara and Baker",Asia-Pacific,Logistics,1678689,953404,4,1461670,42,0,67,0.71,2,High,748,2025-11-02 09:15:41.949677+00:00
S_00604,Lee-Wright,Europe,IT Services,3955184,2016854,37,1275916,16,12,100,0.57,10,Low,699,2025-11-02 09:15:41.951063+00:00
S_00605,"Evans, David and Hendrix",Europe,Manufacturing,1475522,893942,66,1035954,19,9,80,0.66,7,High,731,2025-11-02 09:15:41.952453+00:00
S_00606,Bush-Vaughn,Europe,Logistics,3641250,2052383,74,476420,43,2,86,0.79,0,Medium,776,2025-11-02 09:15:41.953388+00:00
S_00607,Stewart-Bailey,LATAM,Biotech,420979,175468,67,836949,36,12,94,0.23,1,Medium,580,2025-11-02 09:15:41.954386+00:00
S_00608,"Hill, Martinez and Rhodes",North America,Facilities,2067556,1809043,16,761631,24,3,91,0.27,1,High,594,2025-11-02 09:15:41.955707+00:00
S_00609,Huang-Foster,LATAM,Biotech,2607154,2017007,3,963870,35,12,58,0.33,6,High,615,2025-11-02 09:15:41.956683+00:00
S_00610,Blevins-Ballard,North America,Manufacturing,3157312,1870516,88,708154,39,0,68,0.7,6,Medium,745,2025-11-02 09:15:41.957604+00:00
S_00611,Williams-Moses,Europe,Manufacturing,4600275,3267242,42,1553002,9,8,93,0.66,5,Low,731,2025-11-02 09:15:41.958545+00:00
S_00612,Reed Group,LATAM,Biotech,980854,412387,46,377562,47,8,95,0.51,1,Medium,678,2025-11-02 09:15:41.959105+00:00
S_00613,"Scott, Mendoza and Harris",Asia-Pacific,Logistics,1767253,1183735,83,1013473,53,12,87,0.31,3,Medium,608,2025-11-02 09:15:41.960361+00:00
S_00614,"Nelson, Hoffman and Nelson",Asia-Pacific,Biotech,1941104,1436637,35,124210,10,5,72,0.46,7,Medium,661,2025-11-02 09:15:41.962432+00:00
S_00615,Gilbert PLC,LATAM,Biotech,4468133,3302639,68,1896285,24,7,89,0.86,5,Medium,801,2025-11-02 09:15:41.963526+00:00
S_00616,Sanchez Ltd,LATAM,Manufacturing,600524,264281,22,614761,10,1,60,0.35,4,High,622,2025-11-02 09:15:41.964805+00:00
S_00617,"Perez, Hall and Garcia",Europe,Biotech,1291128,1131095,2,624820,32,10,84,0.6,2,Medium,710,2025-11-02 09:15:41.966639+00:00
S_00618,Love-Garcia,North America,IT Services,3574305,1767602,2,1838283,57,3,83,0.56,10,Medium,696,2025-11-02 09:15:41.967681+00:00
S_00619,Smith PLC,Asia-Pacific,Facilities,4904526,3416878,89,1121839,59,8,78,0.47,7,Medium,664,2025-11-02 09:15:41.968297+00:00
S_00620,Russell Group,Asia-Pacific,Logistics,1156912,919321,29,1025531,29,4,99,0.92,0,High,822,2025-11-02 09:15:41.968862+00:00
S_00621,Santos-Avila,Europe,Biotech,2435569,2099620,68,608205,17,2,95,0.56,10,Medium,696,2025-11-02 09:15:41.969785+00:00
S_00622,Morris-Brewer,North America,IT Services,1402702,964024,56,556113,29,2,63,0.39,8,Medium,636,2025-11-02 09:15:41.970738+00:00
S_00623,Pearson and Sons,Europe,IT Services,2708716,1690819,20,1129130,25,1,51,0.98,6,Low,843,2025-11-02 09:15:41.971305+00:00
S_00624,"Rodgers, Jefferson and Johnson",Asia-Pacific,Logistics,1269568,510553,69,1074113,27,10,95,0.96,4,Medium,836,2025-11-02 09:15:41.972639+00:00
S_00625,Butler and Sons,Europe,Biotech,2481246,1896346,56,720272,50,1,96,0.98,7,Low,843,2025-11-02 09:15:41.973209+00:00
S_00626,Osborn Group,North America,IT Services,1219567,502946,79,1773446,20,7,72,0.74,1,Medium,759,2025-11-02 09:15:41.973739+00:00
S_00627,Lopez-Curry,Europe,IT Services,1687034,839903,10,1139132,60,7,93,0.67,10,Low,734,2025-11-02 09:15:41.974670+00:00
S_00628,Mcdowell-Smith,LATAM,IT Services,4343184,3047116,65,1988457,9,10,73,0.52,6,High,682,2025-11-02 09:15:41.975577+00:00
S_00629,"Morrison, Hebert and Rogers",Asia-Pacific,Manufacturing,3637308,1972603,44,656101,34,8,55,0.5,3,Medium,675,2025-11-02 09:15:41.977012+00:00
S_00630,Hays-Daniels,LATAM,Facilities,3776390,2055553,54,1537996,32,2,87,0.79,9,High,776,2025-11-02 09:15:41.978337+00:00
S_00631,Small-Anderson,Asia-Pacific,Manufacturing,1793016,1553785,75,1595686,30,1,50,0.44,6,Medium,654,2025-11-02 09:15:41.980050+00:00
S_00632,"Mcdonald, Lee and Rodriguez",LATAM,Biotech,2342848,1821849,17,427873,17,6,68,0.53,8,Medium,685,2025-11-02 09:15:41.982830+00:00
S_00633,Simon Ltd,Asia-Pacific,Facilities,2583300,1755715,59,480853,7,12,50,0.87,2,High,804,2025-11-02 09:15:41.983866+00:00
S_00634,Higgins-Smith,Asia-Pacific,Facilities,4013962,1965581,88,1362213,21,0,57,0.3,4,Medium,605,2025-11-02 09:15:41.984990+00:00
S_00635,Gibbs-Bradley,Asia-Pacific,Biotech,609728,390374,55,1831053,22,10,93,0.68,7,Low,738,2025-11-02 09:15:41.985915+00:00
S_00636,Thompson Ltd,North America,IT Services,1053140,507006,7,316471,26,7,94,0.5,2,Medium,675,2025-11-02 09:15:41.986446+00:00
S_00637,Wilcox-Robertson,LATAM,IT Services,493659,209487,37,1120677,46,1,82,0.42,3,Medium,647,2025-11-02 09:15:41.987356+00:00
S_00638,Morales Inc,Europe,Biotech,1587191,890895,40,1743971,60,10,69,0.81,4,Medium,783,2025-11-02 09:15:41.987878+00:00
S_00639,Holden Group,Asia-Pacific,Logistics,3091060,1256357,66,600175,29,12,81,0.28,6,Medium,598,2025-11-02 09:15:41.988384+00:00
S_00640,Boyle-Smith,Europe,Biotech,1417587,723758,24,1677459,41,9,94,0.28,8,Low,598,2025-11-02 09:15:41.989315+00:00
S_00641,Young-Molina,North America,Facilities,4673069,2945181,9,254455,58,2,51,0.76,7,Medium,766,2025-11-02 09:15:41.990190+00:00
S_00642,Turner-Sharp,LATAM,Biotech,3091445,2045178,43,371144,51,4,51,0.31,1,High,608,2025-11-02 09:15:41.991094+00:00
S_00643,Green LLC,Asia-Pacific,Logistics,1244196,628220,10,900880,50,12,100,0.75,1,High,762,2025-11-02 09:15:41.991609+00:00
S_00644,"Young, Contreras and Marshall",North America,Logistics,4112224,1866574,84,1086843,43,0,80,0.81,1,Low,783,2025-11-02 09:15:41.993780+00:00
S_00645,Sullivan PLC,North America,Manufacturing,413071,326815,77,440757,43,3,61,0.25,10,Medium,587,2025-11-02 09:15:41.994903+00:00
S_00646,"Carrillo, Vaughn and Fowler",Asia-Pacific,Biotech,811512,465741,20,1803354,38,12,96,0.32,9,High,612,2025-11-02 09:15:41.997316+00:00
S_00647,Richardson-Walker,North America,Biotech,4833480,2457819,24,601096,16,12,84,0.25,0,Low,587,2025-11-02 09:15:41.998964+00:00
S_00648,Mendoza Group,LATAM,IT Services,877835,657556,23,932046,49,1,61,0.94,5,Low,829,2025-11-02 09:15:42.000031+00:00
S_00649,"Zhang, Brooks and Miles",Europe,Facilities,3607540,1646563,40,269240,35,1,83,0.37,2,Medium,629,2025-11-02 09:15:42.001656+00:00
S_00650,Todd-Pham,North America,Manufacturing,3080388,1737516,14,816944,24,7,88,0.76,4,Medium,766,2025-11-02 09:15:42.002586+00:00
S_00651,Gill Ltd,LATAM,IT Services,3774171,3368376,54,405910,60,1,80,0.38,10,Medium,633,2025-11-02 09:15:42.003149+00:00
S_00652,"Marks, Miller and Griffin",LATAM,Manufacturing,157255,94067,66,1391075,49,1,57,1.0,2,Medium,850,2025-11-02 09:15:42.004403+00:00
S_00653,"Cox, Stark and Rodriguez",Europe,Manufacturing,903307,525593,25,720162,18,9,75,0.79,1,High,776,2025-11-02 09:15:42.005673+00:00
S_00654,"Leach, Harris and Herrera",Asia-Pacific,Biotech,3612677,2517403,82,1988086,31,5,80,0.78,10,Medium,773,2025-11-02 09:15:42.006907+00:00
S_00655,Murphy PLC,Asia-Pacific,Logistics,3442718,2699090,13,266251,22,7,81,0.99,3,Medium,846,2025-11-02 09:15:42.007451+00:00
S_00656,Wilson-Harris,North America,Manufacturing,1179176,765364,3,385590,30,9,93,0.22,5,High,577,2025-11-02 09:15:42.008601+00:00
S_00657,"Burns, Nolan and Griffin",LATAM,Facilities,858105,429881,84,1054169,37,8,66,0.81,8,Medium,783,2025-11-02 09:15:42.010102+00:00
S_00658,Chavez PLC,North America,Facilities,4584285,3851087,15,814530,34,5,74,0.64,7,Medium,724,2025-11-02 09:15:42.010707+00:00
S_00659,Bryant-Brown,Asia-Pacific,Logistics,325647,210283,17,665275,51,6,81,0.34,1,Medium,619,2025-11-02 09:15:42.011610+00:00
S_00660,Chambers-Parker,LATAM,Facilities,4165062,2836939,20,1072595,9,6,66,0.73,7,Medium,755,2025-11-02 09:15:42.012593+00:00
S_00661,Foster Inc,Asia-Pacific,IT Services,3219196,1803526,3,1248291,8,2,73,0.69,5,Low,741,2025-11-02 09:15:42.014252+00:00
S_00662,"Robinson, Jones and Henderson",Asia-Pacific,Facilities,4948670,2220344,44,759450,32,5,53,0.22,10,High,577,2025-11-02 09:15:42.016822+00:00
S_00663,"Brown, Mcknight and Michael",North America,Manufacturing,2018152,1684087,14,717986,16,0,84,0.72,5,High,752,2025-11-02 09:15:42.018295+00:00
S_00664,Andersen Group,LATAM,IT Services,3593960,1474246,60,1243102,7,5,74,0.65,9,Medium,727,2025-11-02 09:15:42.018883+00:00
S_00665,Mitchell and Sons,LATAM,Manufacturing,4852802,3617433,26,714574,37,8,98,0.28,10,Medium,598,2025-11-02 09:15:42.019437+00:00
S_00666,Cannon Ltd,LATAM,Logistics,2562563,1661760,9,1772405,60,8,63,0.49,4,High,671,2025-11-02 09:15:42.019951+00:00
S_00667,"Stuart, Brooks and Vance",LATAM,Logistics,2544103,1812129,11,1515140,60,9,56,1.0,9,Medium,850,2025-11-02 09:15:42.021230+00:00
S_00668,Kane-Knox,LATAM,Facilities,614299,310140,9,1376371,58,4,82,0.65,4,Medium,727,2025-11-02 09:15:42.022121+00:00
S_00669,Miller-Brandt,LATAM,Facilities,4579408,2407085,65,960489,48,12,85,0.45,2,Low,657,2025-11-02 09:15:42.023011+00:00
S_00670,"Anderson, Dalton and Wilson",LATAM,Logistics,4380401,3199458,59,571902,46,8,89,0.89,6,Low,811,2025-11-02 09:15:42.024783+00:00
S_00671,"Long, Anderson and Irwin",Asia-Pacific,Facilities,552323,261730,19,1575384,49,12,69,0.62,6,Medium,717,2025-11-02 09:15:42.027217+00:00
S_00672,Avila LLC,LATAM,IT Services,590457,479365,82,346769,22,10,88,0.71,3,Medium,748,2025-11-02 09:15:42.028026+00:00
S_00673,Nunez-Stephens,North America,Logistics,1002598,800596,39,983413,37,8,77,0.32,6,Medium,612,2025-11-02 09:15:42.029003+00:00
S_00674,"Gray, Hall and Murray",Asia-Pacific,Logistics,360409,149415,35,1391332,41,2,91,0.36,0,Low,626,2025-11-02 09:15:42.030869+00:00
S_00675,Hill Ltd,North America,Manufacturing,4125537,2297727,38,1828591,10,6,73,0.83,10,Medium,790,2025-11-02 09:15:42.031897+00:00
S_00676,Johnson Ltd,Europe,Logistics,807544,368212,64,1966507,13,8,92,0.52,9,Low,682,2025-11-02 09:15:42.033196+00:00
S_00677,Mendez-Mayer,North America,Logistics,4456201,3118942,40,700562,59,9,97,0.4,6,Low,640,2025-11-02 09:15:42.034356+00:00
S_00678,Allen Inc,Europe,Logistics,2029192,920049,27,585767,34,6,66,0.95,9,High,832,2025-11-02 09:15:42.034918+00:00
S_00679,Wheeler Group,North America,IT Services,4525070,3044795,60,1441806,21,4,100,0.5,2,Medium,675,2025-11-02 09:15:42.035482+00:00
S_00680,"Powers, Brennan and Sanchez",North America,Biotech,3134820,1308488,84,1685501,9,11,100,0.86,10,High,801,2025-11-02 09:15:42.036738+00:00
S_00681,Morales and Sons,Asia-Pacific,Manufacturing,4686617,3128107,30,1808616,34,6,50,0.51,6,Low,678,2025-11-02 09:15:42.037299+00:00
S_00682,"Robinson, Shields and Brown",Europe,IT Services,2193571,1108177,20,1930762,34,10,70,0.44,10,Medium,654,2025-11-02 09:15:42.038535+00:00
S_00683,"Holder, Young and Hendricks",North America,Facilities,334220,212412,52,1953005,59,5,95,0.42,6,Low,647,2025-11-02 09:15:42.040795+00:00
S_00684,"Flores, Harper and Chambers",Asia-Pacific,Biotech,892179,386477,53,1272728,52,8,97,0.86,5,Medium,801,2025-11-02 09:15:42.042349+00:00
S_00685,Young-Walter,Europe,Facilities,279435,222293,17,16450,31,3,90,0.81,4,Medium,783,2025-11-02 09:15:42.043405+00:00
S_00686,"Boyd, Gutierrez and Hill",Europe,Biotech,739812,559876,83,1610468,14,9,93,0.29,6,Medium,601,2025-11-02 09:15:42.044690+00:00
S_00687,"Fry, Hobbs and Buck",Europe,IT Services,2729314,1328464,75,1743859,26,12,68,0.56,3,High,696,2025-11-02 09:15:42.046706+00:00
S_00688,"Shelton, Peters and Williams",LATAM,Biotech,3133648,1605191,2,1945906,41,10,89,0.35,10,High,622,2025-11-02 09:15:42.048787+00:00
S_00689,David-Powers,Europe,IT Services,796389,597793,21,114402,31,9,77,0.98,9,High,843,2025-11-02 09:15:42.050135+00:00
S_00690,"Flores, Butler and Hernandez",Europe,Biotech,797100,365610,67,922594,55,7,93,0.97,7,High,839,2025-11-02 09:15:42.051513+00:00
S_00691,White-Medina,Asia-Pacific,IT Services,1754106,1356312,48,283047,33,3,88,0.35,3,Low,622,2025-11-02 09:15:42.052473+00:00
S_00692,Atkinson LLC,Europe,Facilities,2423701,1188061,18,70341,24,4,65,0.78,9,Medium,773,2025-11-02 09:15:42.053076+00:00
S_00693,"Thomas, Ford and Brown",LATAM,Manufacturing,2133042,864223,17,1837549,26,11,75,0.5,10,High,675,2025-11-02 09:15:42.054532+00:00
S_00694,Faulkner-Grant,Asia-Pacific,Manufacturing,3266993,1462435,7,119288,27,3,80,0.77,5,Low,769,2025-11-02 09:15:42.055457+00:00
S_00695,Price LLC,LATAM,IT Services,431781,383750,85,787836,14,8,52,0.2,9,High,570,2025-11-02 09:15:42.055988+00:00
S_00696,Rivera Inc,Asia-Pacific,Facilities,1474943,687264,40,1499513,39,6,59,0.6,4,High,710,2025-11-02 09:15:42.056489+00:00
S_00697,Boone-Davis,LATAM,IT Services,420459,325398,55,603337,22,9,98,0.98,4,Medium,843,2025-11-02 09:15:42.057354+00:00
S_00698,"Calderon, Williams and Bennett",Asia-Pacific,Facilities,3705548,2897137,19,1175334,60,10,90,0.91,7,High,818,2025-11-02 09:15:42.058614+00:00
S_00699,"Morrison, Russo and Lopez",Europe,Manufacturing,1296721,823578,20,1490511,35,6,57,0.24,7,High,584,2025-11-02 09:15:42.059905+00:00
S_00700,"Ramsey, Hansen and Mendoza",LATAM,Facilities,3040707,1965799,18,269321,28,1,63,0.99,4,High,846,2025-11-02 09:15:42.061142+00:00
S_00701,Turner-Stout,Asia-Pacific,Biotech,1461760,1235840,74,455427,43,0,83,0.8,9,High,780,2025-11-02 09:15:42.062033+00:00
S_00702,Giles Ltd,LATAM,Manufacturing,694542,585973,3,606180,49,10,57,0.4,6,Medium,640,2025-11-02 09:15:42.062624+00:00
S_00703,Burgess Group,Europe,Manufacturing,939778,414001,90,1393154,36,7,90,0.87,4,Medium,804,2025-11-02 09:15:42.063493+00:00
S_00704,Dominguez Ltd,North America,Biotech,98698,86404,41,1996880,52,11,86,0.46,2,High,661,2025-11-02 09:15:42.064047+00:00
S_00705,Sanders and Sons,Asia-Pacific,IT Services,458376,366276,9,1157469,44,6,55,0.84,6,High,794,2025-11-02 09:15:42.065050+00:00
S_00706,"Morris, Campbell and Owens",LATAM,Manufacturing,2063938,846742,26,351711,30,12,75,0.97,4,Medium,839,2025-11-02 09:15:42.067047+00:00
S_00707,"Howard, Green and Hunt",LATAM,Facilities,1342975,1031330,39,1905268,49,9,58,0.3,5,Medium,605,2025-11-02 09:15:42.068477+00:00
S_00708,Owens-Lang,LATAM,Facilities,3132451,2639736,60,573042,42,9,77,0.61,1,Medium,713,2025-11-02 09:15:42.069431+00:00
S_00709,"Harrison, Franco and Rocha",LATAM,Facilities,3138987,1401475,65,726690,35,10,64,0.69,10,Medium,741,2025-11-02 09:15:42.071232+00:00
S_00710,Edwards-Williams,North America,IT Services,1350818,856566,10,1912552,57,7,69,0.94,2,Low,829,2025-11-02 09:15:42.072179+00:00
S_00711,Figueroa Inc,LATAM,IT Services,2570010,1758575,70,170500,8,8,56,0.87,8,Medium,804,2025-11-02 09:15:42.072760+00:00
S_00712,Tran-Silva,Asia-Pacific,IT Services,842592,444408,10,1621969,38,0,57,0.57,10,Medium,699,2025-11-02 09:15:42.073621+00:00
S_00713,"Butler, Hernandez and Rivera",North America,Manufacturing,1578472,959909,90,634212,26,9,96,0.87,7,Medium,804,2025-11-02 09:15:42.074966+00:00
S_00714,Hudson-Sanchez,Asia-Pacific,IT Services,3824436,3378353,23,452642,17,1,97,0.7,9,High,745,2025-11-02 09:15:42.075847+00:00
S_00715,"Pena, Cohen and Scott",North America,Manufacturing,941966,562793,1,370155,47,7,79,0.55,6,Low,692,2025-11-02 09:15:42.077123+00:00
S_00716,Levy-May,Asia-Pacific,Facilities,4132924,3315929,11,272331,14,0,62,0.44,1,Low,654,2025-11-02 09:15:42.077999+00:00
S_00717,Murray-Oconnor,Europe,Facilities,1628913,1179840,83,517049,33,10,100,0.89,8,High,811,2025-11-02 09:15:42.078892+00:00
S_00718,Jackson-Cortez,Europe,Facilities,2574282,1572730,14,358348,15,11,94,0.82,7,Low,787,2025-11-02 09:15:42.080362+00:00
S_00719,White-Preston,LATAM,Biotech,4005138,2087937,37,1204182,59,6,53,0.22,5,High,577,2025-11-02 09:15:42.081885+00:00
S_00720,"Bernard, Warren and Combs",LATAM,Biotech,3672099,2562830,70,619798,8,7,75,0.98,7,Medium,843,2025-11-02 09:15:42.083496+00:00
S_00721,Landry Ltd,North America,Biotech,4142814,1696523,73,672385,41,1,67,0.39,10,Medium,636,2025-11-02 09:15:42.084120+00:00
S_00722,Duran Group,Asia-Pacific,Facilities,4020646,3010487,2,348340,24,11,62,0.29,7,Medium,601,2025-11-02 09:15:42.084767+00:00
S_00723,Kirby and Sons,Asia-Pacific,Biotech,1997022,1650991,84,992447,14,4,96,0.61,6,Low,713,2025-11-02 09:15:42.085535+00:00
S_00724,Mann Inc,Europe,Biotech,3072042,1547093,88,1581300,11,10,80,0.84,2,High,794,2025-11-02 09:15:42.086086+00:00
S_00725,Wagner LLC,North America,Facilities,1361257,1186372,63,646804,21,3,85,0.68,0,Low,738,2025-11-02 09:15:42.086706+00:00
S_00726,Williamson Ltd,Asia-Pacific,Logistics,3059721,1491177,64,77045,57,1,71,0.9,6,High,815,2025-11-02 09:15:42.087233+00:00
S_00727,"Durham, Hopkins and Smith",Europe,Facilities,1951615,1032230,43,1656024,28,12,52,0.3,8,High,605,2025-11-02 09:15:42.088513+00:00
S_00728,"Arnold, Smith and Moreno",North America,Manufacturing,1318176,1138002,56,1685596,35,12,57,0.88,1,Medium,808,2025-11-02 09:15:42.089784+00:00
S_00729,Nichols-Mitchell,North America,Biotech,904531,409486,80,257588,19,5,60,0.86,4,Medium,801,2025-11-02 09:15:42.090785+00:00
S_00730,"Li, Craig and Drake",North America,Logistics,4293768,3106740,42,1727904,14,1,62,0.6,7,Low,710,2025-11-02 09:15:42.092051+00:00
S_00731,Rodriguez Inc,LATAM,IT Services,105260,57196,21,188748,23,5,95,0.4,6,Medium,640,2025-11-02 09:15:42.092602+00:00
S_00732,"Hernandez, Lee and Fox",LATAM,Logistics,2108994,989112,54,876982,32,7,83,0.32,10,Medium,612,2025-11-02 09:15:42.093868+00:00
S_00733,Adams-Sanders,North America,Biotech,299669,261257,10,719474,26,6,99,0.55,2,Medium,692,2025-11-02 09:15:42.094763+00:00
S_00734,Chung-Stevens,Europe,Biotech,3348956,1436383,80,1506044,57,10,83,0.81,4,Medium,783,2025-11-02 09:15:42.095627+00:00
S_00735,Branch and Sons,Asia-Pacific,IT Services,4694020,1896154,35,1897874,39,9,59,0.9,6,Medium,815,2025-11-02 09:15:42.096317+00:00
S_00736,Sutton-Abbott,LATAM,IT Services,1770785,1494254,83,858309,55,3,69,0.91,1,High,818,2025-11-02 09:15:42.097374+00:00
S_00737,"Frey, Santos and Johnson",Europe,Biotech,2855930,2558804,36,458233,11,8,85,0.51,4,Medium,678,2025-11-02 09:15:42.099172+00:00
S_00738,Gray-Tran,Asia-Pacific,Logistics,1392406,1136362,38,1533600,33,8,57,0.22,0,Low,577,2025-11-02 09:15:42.100250+00:00
S_00739,Walsh Ltd,Asia-Pacific,Manufacturing,2228995,944796,83,1984139,13,7,69,0.7,9,Medium,745,2025-11-02 09:15:42.101519+00:00
S_00740,Miller Group,Europe,Biotech,3851273,2629643,80,1405697,40,9,64,0.47,5,High,664,2025-11-02 09:15:42.102148+00:00
S_00741,"Mueller, Knight and Hodge",LATAM,Biotech,4854707,3732085,13,697544,39,9,62,0.74,5,Medium,759,2025-11-02 09:15:42.103521+00:00
